engine,workload,durability,threads,n,qps_mean,qps_std,p50_mean,p50_std,p95_mean,p95_std,p99_mean,p99_std,max_mean,max_std,failures_total
redline,secondary-index-range,normal,32,5,849.7239801474163,125.80961835826679,36747.8,5892.459181021113,47205.4,10613.088372382472,50578.2,11222.619444675116,62629.4,12776.766914990663,0
redline,secondary-index-range,normal,64,5,1353.7429810917833,7.994003925023846,43819.8,205.64824336716327,52280.6,1400.7814961656225,61407.0,1873.5719895429693,72690.2,2203.310963073528,0
redline,secondary-index-range,normal,128,5,845.0105837598081,16.067467202266208,140543.0,2703.195146488685,170904.6,3424.3289561606116,209816.6,7308.004159823666,258840.6,19472.07756763515,0
redline,secondary-index-range,strict,1,5,58.76230724380953,21.517469186423927,17539.8,5709.527756303493,22943.0,8686.902324764565,25584.6,9680.585767400647,26778.2,9958.097167631977,0
redline,secondary-index-range,strict,2,5,77.34669351525856,25.18041913548799,21763.8,5075.568460773631,39727.0,12841.472812726739,44411.8,14956.835601155746,47621.4,11830.664427664238,0
redline,secondary-index-range,strict,4,5,106.34959894346775,17.289455609097995,32965.4,4881.9746824415215,54783.0,1918.9330368723136,62603.8,3669.8712783965593,68005.4,7520.558277149378,0
redline,secondary-index-range,strict,8,5,168.79965022575126,9.532625763793494,41509.4,2890.416717361011,59992.6,3480.7557799995107,67243.8,5055.574665653746,75634.2,7092.949964577503,0
redline,secondary-index-range,strict,16,5,501.3998426956866,150.37220047681203,32603.8,14904.386039015495,43224.6,17414.8427727614,47256.6,20200.89059422876,50213.4,20191.15560833505,0
redline,secondary-index-range,strict,32,5,835.3198852758727,160.08993492993514,37675.8,7289.140635218942,47314.2,11328.375135031501,50834.2,12207.729485862636,60299.8,16575.34516081038,0
redline,secondary-index-range,strict,64,5,1362.8649622809494,13.614926216083488,43512.6,392.831770609252,52543.0,1403.4471846136566,61279.0,1526.47043862631,71410.2,4132.68571270548,0
redline,secondary-index-range,strict,128,5,848.7100072841959,14.921239316303266,139570.2,3213.5393571574673,171160.6,3307.5061300018815,212939.8,16410.129164634873,263167.0,16798.75042971947,0
redline,secondary-index-read,normal,1,5,68.46523581385664,19.312876717482347,15219.8,4474.52379589158,21779.8,7697.441860774266,25605.4,10646.595549752043,28143.0,9536.469787085785,0
redline,secondary-index-read,normal,2,5,87.01776414538881,8.365601028959583,19218.2,908.3012716054076,34015.0,8446.48471258902,41355.8,12037.857085046324,45151.0,15093.640515130868,0
redline,secondary-index-read,normal,4,5,140.37418142282172,29.996517186331076,26207.0,6126.245179553296,39343.0,7688.445356507387,45426.2,11019.356932235203,52351.0,13555.22039658522,0
redline,secondary-index-read,normal,8,5,206.36336405753786,25.50057760677508,35487.0,4273.76742465006,53682.2,5009.742827730781,62418.2,2098.4535258137116,69093.4,2474.822983568723,0
